,last_scraped,name,description,neighborhood_overview,picture_url,host_name,host_since,host_about,host_response_time,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,last_review,license,instant_bookable,id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1209,18/09/2024,"bed in a 4-Bedroom mixed, Ensuite  No. 3","with bathroom, WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/53a45fb9-283d-48b6-a1e4-e3e4c6cc6965.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1 shared bath,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,13/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,6109481.0,1.0,0.93,1.8,2.6,4.0,1.0,1.0,1.7,64.0,1.0,14.0,15.0,45,75,101.0,16.0,1.0,4.59,4.72,4.74,4.71,4.74,4.43,4.53,0.89
1211,18/09/2024,"bed in a 6-Bed mixed dorm ,Shared Bathroom 2","with 12-man communal shared bathroom, WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/fc890895-1cdb-426b-a104-27f8b8f736f6.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Body soap"", ""Elevator"", ""Outdoor shower"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,07/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,6110762.0,1.0,0.93,1.8,2.6,6.0,1.5,1.0,1.7,54.0,1.0,14.0,19.0,45,165,19.3,10.0,1.0,4.56,4.77,4.64,4.85,4.76,4.61,4.63,2.29
1212,18/09/2024,"bed in a 6-Bed mixed dorm ,Shared Bathroom 1","with 12-man communal bathroom,  WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/3d4d2164-fb7a-4584-9b63-70f732ba8cd9.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1 shared bath,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,11/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,6111076.0,1.0,0.93,1.8,2.6,6.0,1.0,1.0,1.7,50.0,1.0,14.0,10.0,36,66,19.3,3.7,1.0,4.55,4.71,4.64,4.74,4.69,4.51,4.6,2.32
1356,18/09/2024,"bed in a 8-Bedroom mixed, Ensuite  No. 1","with shared bathroom, WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit<br />If you wanna stay privat you need to pay for all the beds in the room !!!","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/84021055/19f1ab93_original.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,13/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",t,6663931.0,1.0,0.93,1.8,2.6,2.7,1.5,1.0,1.7,180.0,1.0,1125.0,13.0,31,272,19.3,3.7,0.3,4.68,4.77,4.67,4.81,4.76,4.59,4.71,0.5
1357,18/09/2024,"bed in a 6-Bedroom mixed, Ensuite No. 4","with en-suite bathroom,  WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/23cf7248-e53d-44c7-8cd2-666ed995650c.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,06/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,6664659.0,1.0,0.93,1.8,2.6,6.0,1.5,1.0,1.7,55.0,1.0,14.0,17.0,47,167,55.0,3.0,1.0,4.64,4.74,4.58,4.66,4.71,4.51,4.57,0.49
1404,18/09/2024,"bed in a 8-bed dorm mixed Ensuite ,Kitchen 2","with shared bathroom, kitchen, WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit<br />If you wanna stay privat you need to pay for all the beds in the room !!!","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/2a7c149e-080a-45e3-9334-e5327bd781a5.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1 shared bath,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,10/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",t,6858383.0,1.0,0.93,1.8,2.6,2.7,1.0,1.0,1.7,180.0,1.0,1125.0,21.0,49,324,19.3,3.7,0.3,4.56,4.71,4.5,4.73,4.69,4.53,4.52,0.5
1619,19/09/2024,Student dormitory rent out,"I have comfortable bed and big wardrobe, a blanket and leave a tee time room space in my room. Shared kitchen and bathroom with other three guys. We have microwave, oven, refrigerator and cooking stuffs. Very near to the city center, gym understairs.",German guys may be help you to know more about the germany and berlin.,https://a0.muscache.com/pictures/99238630/21b4648d_original.jpg,Jiao,17/12/2014,"Hi, I am a Fotografer from Berlin. Me and my Family is polish, and I came vor 8 Years to Berlin for studying!",within a day,f,"['email', 'phone']",t,f,"Berlin, Germany",Shared room in rental unit,Shared room,2 shared baths,"[""Gym"", ""Washer"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Shampoo"", ""Kitchen""]",20/05/2019,t,19/09/2024,01/01/2024,07/Z/AZ/008417-20,f,7797649.0,1.0,0.5,1.0,1.0,2.0,1.2,1.0,2.0,28.0,92.0,1125.0,0.0,0,0,0.0,0.0,0.0,4.9,4.8,4.9,4.9,4.8,4.8,4.9,0.4
1673,18/09/2024,"bed in a 5-bed mixed dorm , Shared bathroom","We rent out our lived home for 2 weeks for visitors to Berlin who would love a large balcony (for sunset), high ceilings with stucco (for dreaming of old times), a spacious dining kitchen (for incredibly sociable evenings) and the 7-minute proximity to the Wei‚àö√ºensee (for example for Sundays swinging dance at the beach bar or just for drinking beer) as much as we would love!","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/a7096b10-2004-4070-975d-d8d34a8bbf45.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,[],20/05/2019,t,18/09/2024,06/08/2023,"First name and Last name: Jose De Sousa Ferreira <br/> Contact address: Ulmenallee 56, 14050 , Berlin, Berlin <br/>Listing address: Nordhauserstr. 31, 10589, Berlin, Berlin",t,8094511.0,1.0,0.93,1.8,2.6,5.0,1.5,1.0,1.7,99.0,1.0,1125.0,21.0,43,315,45.0,0.0,0.0,4.6,4.76,4.62,4.8,4.73,4.51,4.73,0.41
1684,19/09/2024,wir sind eine Frauen wg,"if you need a room, you are welcome to stay with us. But with rules :)))","There are supermarkets, chemist¬¨¬•s and banks located in the immediate vicinity.",https://a0.muscache.com/pictures/100711646/eb9b6a76_original.jpg,Derya,17/08/2015,"Rosa und Josef sind Architekten mit einem Faible f‚àö¬∫r Kunst und Design.
Wir reisen ebenfalls sehr gerne in alle Welt und lieben es in einer individuell gestalteten Unterkunft zu wohnen.",within a day,f,['phone'],t,f,"Berlin, Germany",Shared room in rental unit,Shared room,1 shared bath,"[""Wifi"", ""Heating""]",20/05/2019,t,19/09/2024,01/01/2024,"First name and Last name: Josef Konrad  <br/> Contact address: Marienburger Stra‚àö√ºe 49, 10405, Berlin , Berlin  <br/>Listing address: Matternstra‚àö√ºe 11, 10249, Berlin , Berlin ",f,7905500.0,1.0,0.97,1.0,1.0,1.0,1.2,1.0,2.0,70.0,92.0,1125.0,0.0,0,0,0.0,0.0,0.0,4.9,4.8,4.9,4.9,4.8,4.8,4.9,0.4
1795,18/09/2024,"bed in a 6-Bed mixed dorm ,Shared Bathroom 4","with a 12-man communal shared bathroom,  WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/927fdf2a-d549-4381-be79-81f02e130ae7.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1 shared bath,"[""Body soap"", ""Elevator"", ""Outdoor shower"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Central heating"", ""Wifi""]",20/05/2019,t,18/09/2024,29/07/2024,"Legal entity name and Legal form: Odysseehostel  GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,8529085.0,1.0,0.93,1.8,2.6,6.0,1.0,1.0,1.7,53.0,1.0,14.0,16.0,42,252,93.0,10.0,0.0,4.48,4.65,4.54,4.83,4.66,4.8,4.49,0.85
1961,18/09/2024,"bed in a 6-Bed mixed dorm ,Shared Bathroom 5","with 12-man shared bathroomWIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/48600720-e082-45c0-875e-2c207ed62dc0.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Elevator"", ""Outdoor shower"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Carbon monoxide alarm"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,08/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,9536240.0,1.0,0.93,1.8,2.6,6.0,1.5,1.0,1.7,54.0,1.0,14.0,14.0,40,160,19.3,19.0,1.0,4.59,4.77,4.62,4.78,4.73,4.63,4.68,1.24
1963,18/09/2024,"bed in a 4-Bedroom mixed, Ensuite  No. 4","with bathroom, WIFI, bed linen, and storage<br />Breakfast buffet is available for ‚Äö√á¬® 7.00 including juices, coffee and tea.<br />The reception is open 24 hours.<br />""Late Check Out"" is possible after prior agreement!<br />Padlock: 5,00 ‚Äö√á¬® deposit<br />Keycard: 2,00 ‚Äö√á¬® deposit","Welcome Traveler.<br />The Singer Hostel and  Apartment is located right in the center of Berlin. All major attractions are easily accessible and there are plenty of opportunities to have fun in the most trendy suburbs of Berlin - Friedrichshain, Kreuzberg (East Side Gallery, Bars, Clubs, Mercedes Benz Arena, subculture), Prenzlauer Berg (coffee shops, restaurants, shopping streets) and Mitte (tourist attractions).",https://a0.muscache.com/pictures/7a49e6c5-bdf5-4c69-8247-12dd46a1b223.jpg,Singer Hostel Berlin,19/08/2013,"Ich bin 38 R‚àö¬ßume gro‚àö√º / schwer
Bin zentral gelegen, habe helle , ger‚àö¬ßumige Zimmer, fr‚àö¬∫hst‚àö¬∫cke gern bis 11:00 Uhr.
Habe gern einen Drink an der Bar mit Freunden aus aller Welt.
Spiele gern Pool Billard und Table Kicker in der Bar",within an hour,f,"['email', 'phone']",t,t,"Berlin, Germany",Shared room in hostel,Shared room,1.5 shared baths,"[""Body soap"", ""Elevator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Heating"", ""Building staff"", ""Shampoo"", ""Paid parking off premises"", ""Exterior security cameras on property"", ""First aid kit"", ""Laundromat nearby"", ""Kitchen"", ""Pool table"", ""Bed linens"", ""Dishes and silverware"", ""Fire extinguisher"", ""Hot water"", ""Smoke alarm"", ""Self check-in"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Books and reading material"", ""Room-darkening shades"", ""Wifi""]",20/05/2019,t,18/09/2024,12/09/2024,"Legal entity name and Legal form: Odysseehostel GmbH &amp; Co KG <br/>Legal representatives or Trade register number: Susan Jurisch <br/> Entity address: Singerstr. 109, 10179, Berlin, Deutschland <br/>Listing address: Singerstr. 109, 10179, Berlin, Deutschland",f,9540682.0,1.0,0.93,1.8,2.6,4.0,1.5,1.0,1.7,63.0,1.0,14.0,20.0,50,170,19.3,21.0,1.0,4.6,4.73,4.77,4.82,4.68,4.47,4.6,1.28
